model_path,model_name,algorithm,environment,mode,seed,task_id,avg_return,success,error
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_17,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,8,1,17,1485.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_18,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,9,1,18,800.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_2,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Freeway-v5,1,1,2,11.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_3,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Freeway-v5,2,1,3,16.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_4,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Freeway-v5,3,1,4,25.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_5,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Freeway-v5,4,1,5,30.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_6,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Freeway-v5,5,1,6,16.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_7,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Freeway-v5,6,1,7,18.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_8,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/Freeway-v5,7,1,8,25.0,True,
agents/cross_game__cnn-simple__run_baselines_cross_game__1/task_9,cross_game__cnn-simple__run_baselines_cross_game__1,cnn-simple,ALE/SpaceInvaders-v5,0,1,9,535.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_0,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Breakout-v5,0,1,0,11.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_1,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Freeway-v5,0,1,1,24.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_10,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,1,1,10,775.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_11,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,2,1,11,955.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_12,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,3,1,12,715.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_13,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,4,1,13,750.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_14,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,5,1,14,705.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_15,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,6,1,15,715.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_16,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,7,1,16,800.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_17,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,8,1,17,490.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_18,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,9,1,18,600.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_2,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Freeway-v5,1,1,2,15.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_3,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Freeway-v5,2,1,3,19.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_4,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Freeway-v5,3,1,4,22.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_5,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Freeway-v5,4,1,5,31.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_6,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Freeway-v5,5,1,6,15.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_7,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Freeway-v5,6,1,7,20.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_8,cross_game__fame__run_baselines_cross_game__1,fame,ALE/Freeway-v5,7,1,8,22.0,True,
agents/cross_game__fame__run_baselines_cross_game__1/task_9,cross_game__fame__run_baselines_cross_game__1,fame,ALE/SpaceInvaders-v5,0,1,9,575.0,True,
agents/cross_game__packnet__run_baselines_cross_game__1/task_0,cross_game__packnet__run_baselines_cross_game__1,packnet,ALE/Breakout-v5,0,1,0,0.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_0,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Breakout-v5,0,1,0,4.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_1,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Freeway-v5,0,1,1,32.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_10,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,1,1,10,600.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_11,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,2,1,11,600.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_12,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,3,1,12,540.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_13,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,4,1,13,515.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_14,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,5,1,14,365.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_15,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,6,1,15,515.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_16,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,7,1,16,160.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_17,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,8,1,17,405.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_18,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,9,1,18,490.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_2,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Freeway-v5,1,1,2,21.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_3,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Freeway-v5,2,1,3,13.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_4,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Freeway-v5,3,1,4,25.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_5,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Freeway-v5,4,1,5,26.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_6,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Freeway-v5,5,1,6,15.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_7,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Freeway-v5,6,1,7,11.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_8,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/Freeway-v5,7,1,8,18.0,True,
agents/cross_game__prog-net__run_baselines_cross_game__1/task_9,cross_game__prog-net__run_baselines_cross_game__1,prog-net,ALE/SpaceInvaders-v5,0,1,9,350.0,True,
